Pessoa;Produção
Kubrick
JJ Abrams
Peter Jackson
Tom Six
David Lynch
Hayao Miyazaki
Tolkien
Peter Selles
George C Scott
Malcolm McDowell
Patrick Magee
Adrienne Corri
Miriam Karlim
Keir Dullea
Gary Lockwood
William Sylvester
Douglas Rain
Arthur C. Clarke
Anthony Burgess
Anna Torv
Joshua Jackson
John Noble
Lance Reddick
Kirk Acevedo
Blair Brown
Jasika Nicole
Mark Valley
Leonard Nimoy
Elijah Wood
Ian McKellen
Liv Tyler
Viggo Mortensen
Sean Astin
Cate Blanchett
Martin Freeman
Richard Armitage
Benedict Cumberbatch
Orlando Bloom
Homero
Dieter Laser
Ashley C. Williams
Ashlynn Yennie
Akihiro Kitamura
Kyle MacLachlan
Michael Ontkean
Mädchen Amick
Dana Ashbrook
Richard Beymer
Lara Flynn Boyle
Sherilyn Fenn
Warren Frost
Rumi Hiragi
Miyu Irino
Mari Natsuki
Noriko Hidaka
Chika Sakamoto
Shigesato Itoi
Hitoshi Takagi
Shūichirō Moriyama
Tokiko Kato
Akemi Okamura
Akio _tsuka
Orson Welles
Joseph Cotten
Steven Spielberg
Tom Cruise
Dakota Fanning
Justin Chatwin
Miranda Otto
Tim Robbins
HG Wells
Frederik Pohl
Dave Matthews
